carre,annee,SYLUND,passage
1,2008,0,3
2,2008,0,3
3,2008,1,3
4,2008,2,3
5,2008,0,3
6,2008,1,3
7,2008,1,3
8,2008,2,3
9,2008,0,3
10,2008,2,3
11,2008,3,3
12,2008,1,3
13,2008,0,3
14,2008,2,3
15,2008,2,3
16,2008,4,2
17,2008,0,3
18,2008,2,2
19,2008,2,3
20,2008,0,2
21,2008,3,3
22,2008,0,2
23,2008,1,3
24,2008,1,2
25,2008,1,3
26,2008,0,2
27,2008,1,3
28,2008,0,2
29,2008,0,3
30,2008,0,2
31,2008,1,3
32,2008,2,3
33,2008,1,3
34,2008,3,3
35,2008,2,3
36,2008,1,3
37,2008,3,3
38,2008,1,3
39,2008,1,3
40,2008,2,3
41,2008,5,3
42,2008,4,3
43,2008,1,3
44,2008,3,3
45,2008,1,3
46,2008,0,3
47,2008,1,3
48,2008,1,3
49,2008,0,3
50,2008,1,3
51,2008,2,3
52,2008,0,3
53,2008,0,3
54,2008,0,3
55,2008,0,3
56,2008,0,3
57,2008,0,0
58,2008,0,3
59,2008,2,3
60,2008,2,3
61,2008,3,3
62,2008,2,3
63,2008,2,3
64,2008,3,3
65,2008,2,3
66,2008,2,3
67,2008,3,3
68,2008,2,3
69,2008,1,3
70,2008,0,3
71,2008,1,3
72,2008,0,0
1,2009,0,3
2,2009,0,3
3,2009,0,3
4,2009,2,3
5,2009,0,3
6,2009,2,3
7,2009,0,3
8,2009,0,3
9,2009,1,3
10,2009,2,3
11,2009,0,3
12,2009,0,3
13,2009,1,3
14,2009,1,3
15,2009,0,3
16,2009,4,3
17,2009,0,3
18,2009,0,3
19,2009,1,3
20,2009,3,3
21,2009,2,3
22,2009,0,3
23,2009,0,3
24,2009,0,3
25,2009,0,3
26,2009,0,3
27,2009,0,3
28,2009,0,3
29,2009,0,3
30,2009,0,3
31,2009,1,3
32,2009,0,3
33,2009,0,3
34,2009,0,3
35,2009,1,3
36,2009,0,3
37,2009,2,3
38,2009,1,3
39,2009,0,3
40,2009,1,3
41,2009,0,2
42,2009,0,3
43,2009,0,3
44,2009,4,3
45,2009,0,3
46,2009,0,3
47,2009,3,3
48,2009,2,3
49,2009,0,3
50,2009,1,3
51,2009,1,3
52,2009,0,3
53,2009,0,3
54,2009,0,3
55,2009,0,3
56,2009,0,3
57,2009,0,3
58,2009,0,3
59,2009,1,3
60,2009,0,3
61,2009,1,3
62,2009,0,3
63,2009,0,3
64,2009,1,3
65,2009,0,3
66,2009,1,3
67,2009,1,3
68,2009,1,3
69,2009,2,3
70,2009,0,3
71,2009,1,3
72,2009,0,3
1,2010,0,3
2,2010,0,3
3,2010,1,3
4,2010,1,3
5,2010,0,3
6,2010,1,3
7,2010,2,3
8,2010,3,3
9,2010,1,3
10,2010,1,3
11,2010,0,3
12,2010,0,3
13,2010,0,3
14,2010,1,3
15,2010,0,3
16,2010,1,3
17,2010,1,3
18,2010,1,3
19,2010,0,3
20,2010,1,3
21,2010,1,3
22,2010,0,3
23,2010,0,3
24,2010,2,3
25,2010,1,3
26,2010,0,3
27,2010,0,3
28,2010,0,3
29,2010,0,3
30,2010,0,3
31,2010,1,3
32,2010,0,3
33,2010,0,3
34,2010,1,3
35,2010,0,3
36,2010,2,3
37,2010,3,3
38,2010,1,3
39,2010,2,3
40,2010,1,3
41,2010,2,3
42,2010,3,3
43,2010,1,3
44,2010,2,3
45,2010,2,3
46,2010,0,3
47,2010,0,3
48,2010,2,3
49,2010,1,3
50,2010,1,3
51,2010,1,3
52,2010,0,3
53,2010,0,3
54,2010,0,3
55,2010,0,3
56,2010,0,3
57,2010,0,3
58,2010,0,3
59,2010,2,3
60,2010,1,3
61,2010,1,3
62,2010,1,3
63,2010,3,3
64,2010,0,3
65,2010,1,3
66,2010,1,3
67,2010,2,3
68,2010,1,3
69,2010,0,3
70,2010,0,3
71,2010,3,3
72,2010,2,3
1,2011,0,3
2,2011,0,3
3,2011,3,3
4,2011,4,3
5,2011,0,3
6,2011,2,3
7,2011,3,3
8,2011,2,3
9,2011,0,3
10,2011,3,3
11,2011,1,3
12,2011,0,3
13,2011,0,2
14,2011,0,3
15,2011,2,3
16,2011,1,3
17,2011,0,3
18,2011,2,3
19,2011,2,3
20,2011,3,3
21,2011,2,3
22,2011,0,3
23,2011,3,3
24,2011,3,3
25,2011,2,3
26,2011,1,3
27,2011,0,3
28,2011,0,3
29,2011,1,3
30,2011,0,3
31,2011,0,3
32,2011,1,3
33,2011,0,3
34,2011,2,3
35,2011,0,3
36,2011,2,3
37,2011,2,3
38,2011,1,3
39,2011,2,3
40,2011,5,3
41,2011,2,3
42,2011,3,3
43,2011,0,3
44,2011,1,3
45,2011,1,3
46,2011,0,3
47,2011,1,3
48,2011,1,3
49,2011,1,3
50,2011,0,3
51,2011,2,3
52,2011,0,3
53,2011,1,3
54,2011,3,3
55,2011,0,3
56,2011,0,3
57,2011,0,3
58,2011,0,3
59,2011,2,3
60,2011,3,3
61,2011,0,3
62,2011,1,3
63,2011,1,3
64,2011,1,3
65,2011,2,3
66,2011,1,3
67,2011,2,3
68,2011,1,3
69,2011,0,3
70,2011,0,3
71,2011,3,3
72,2011,1,3
1,2012,0,3
2,2012,0,3
3,2012,1,2
4,2012,0,3
5,2012,0,2
6,2012,0,2
7,2012,4,3
8,2012,0,2
9,2012,0,2
10,2012,1,3
11,2012,0,3
12,2012,0,2
13,2012,0,2
14,2012,1,3
15,2012,0,3
16,2012,0,3
17,2012,0,3
18,2012,0,3
19,2012,3,3
20,2012,0,3
21,2012,0,3
22,2012,0,3
23,2012,1,3
24,2012,1,3
25,2012,0,3
26,2012,0,3
27,2012,0,3
28,2012,1,3
29,2012,0,3
30,2012,0,3
31,2012,0,3
32,2012,0,3
33,2012,0,3
34,2012,0,3
35,2012,0,3
36,2012,1,3
37,2012,0,3
38,2012,0,3
39,2012,0,3
40,2012,1,3
41,2012,1,3
42,2012,1,3
43,2012,0,3
44,2012,0,3
45,2012,0,3
46,2012,0,3
47,2012,0,3
48,2012,0,3
49,2012,0,3
50,2012,0,3
51,2012,0,3
52,2012,0,3
53,2012,0,3
54,2012,0,3
55,2012,0,3
56,2012,0,3
57,2012,0,3
58,2012,0,2
59,2012,0,3
60,2012,0,2
61,2012,1,3
62,2012,0,2
63,2012,2,3
64,2012,0,2
65,2012,0,3
66,2012,0,1
67,2012,0,3
68,2012,0,2
69,2012,0,3
70,2012,0,2
71,2012,1,2
72,2012,0,3
1,2013,0,3
2,2013,0,3
3,2013,0,3
4,2013,1,3
5,2013,0,3
6,2013,0,3
7,2013,2,3
8,2013,2,3
9,2013,0,3
10,2013,1,3
11,2013,0,3
12,2013,0,3
13,2013,0,1
14,2013,0,3
15,2013,0,3
16,2013,0,3
17,2013,0,3
18,2013,0,3
19,2013,0,3
20,2013,2,3
21,2013,2,3
22,2013,0,3
23,2013,0,3
24,2013,0,3
25,2013,1,3
26,2013,0,3
27,2013,0,3
28,2013,2,3
29,2013,0,3
30,2013,0,3
31,2013,0,2
32,2013,0,3
33,2013,0,3
34,2013,0,2
35,2013,1,3
36,2013,2,3
37,2013,0,0
38,2013,0,2
39,2013,3,3
40,2013,0,2
41,2013,0,0
42,2013,0,3
43,2013,0,3
44,2013,0,3
45,2013,0,3
46,2013,0,3
47,2013,0,3
48,2013,0,3
49,2013,0,3
50,2013,0,3
51,2013,1,3
52,2013,0,3
53,2013,0,3
54,2013,0,3
55,2013,0,3
56,2013,0,3
57,2013,0,2
58,2013,0,3
59,2013,0,2
60,2013,1,3
61,2013,0,2
62,2013,1,3
63,2013,1,2
64,2013,2,3
65,2013,0,2
66,2013,1,3
