CDPOINTDECONTROLE	CODEVALEURDONNECONTEXTE
03000344	P10
03000820	TP10
03001000	M10
03002000	M10
03002100	M10
03002900	P10
03004280	P10
03004349	G9/10
03006000	G9/10
03006268	P10
03006271	TP10
03006390	P10
03006590	M10
03007000	M10
03007383	TP9
03008267	P9
03008505	P9
03009000	M9
03010670	M9
03011300	G9
03011620	TP9
03011840	P9
03012000	M9
03012100	G9
03012355	P9
03013300	TP9
03013345	TP9
03013660	TP9
03014000	G9
03014130	P10
03014550	P10
03015000	P10
03016310	M10
03017000	M9/10
03017900	M9/10
03018196	P9
03018342	P9
03018675	P9
03018791	P9
03018947	P9
03018951	G9
03019795	P9
03020145	P9
03020650	P9
03021000	G9
03022000	P10
03022445	P9
03022896	TP9
03023000	M9
03024245	M21
03024285	TP21
03024300	M21
03024335	TP21
03024392	M21
03024523	P21
03024560	P21
03024840	M9-10/21
03024885	P10
03025238	M10
03025368	P10
03025492	TP10
03025919	TP10
03026000	M10
03027000	M10
03027490	M9-10/21
03027840	TP9
03028000	G9
03029000	G9/10
03029140	G9
03029470	G9
03029530	P9
03029710	G9/10
03030000	G9
03031040	G9
03032000	G9/10
03032210	P21
03032240	P21
03032675	P21
03032695	P21
03032904	P21
03033000	P21
03033038	P21
03033200	P21
03033240	P21
03033305	P21
03033470	TP21
03033660	M21
03034000	M9-10/21
03034370	P10
03034690	P21
03034720	P10
03034961	TP10
03035455	P10
03035570	P10
03036030	M9
03036070	M9/10
03036510	M10
03036650	M10
03036885	M10
03036970	TP10
03037480	TP10
03037482	TP10
03037550	M10
03037650	M10
03038380	G9/10
03038385	G9
03038700	TP9
03039000	G9/10
03039390	P10
03040250	TP10
03040490	M10
03041247	TP9
03041348	P10
03041600	P9
03042820	TP9
03043450	TP9
03044000	P9
03044170	TP9
03044580	P9
03045000	P9
03046200	TP9
03047445	P9
03047680	P9
03048000	TG9
03050000	TP9
03050200	P9
03050520	P9
03051500	P9
03051590	P9
03051765	P9
03051840	P9
03052215	P9
03052245	P9
03052338	P20
03052450	M9
03052656	TP20
03052785	M9
03052895	M9
03053000	M9
03053310	P9
03053750	P9
03053999	M9
03054000	M9
03055000	M9
03056087	P9
03056160	P9
03056410	TP9
03057000	M9
03057340	TP9
03057720	P9
03059000	P9
03061000	P9
03063000	TG9
03065050	P9
03065460	TP20
03066000	P9
03068100	P9
03068950	P9
03069000	M9
03071080	P9
03071510	P9
03071550	M9
03071880	M9
03072000	M9
03072200	M9
03073000	M9
03073350	M9
03073480	TP9
03075000	TP9
03076000	P9
03076220	P9
03077000	P9
03077645	P9
03078110	M9
03078600	M9
03079622	TP9
03079850	M9
03080660	TG9
03081000	G9
03082000	G9
03082560	G9
03084470	TG9
03085608	P10
03085730	M10
03085837	P10
03085908	P10
03085945	P10
03086100	M10
03088360	P10
03088800	G9/10
03090000	G9/10
03090258	P10
03090260	P10
03090380	P10
03090405	P9
03090470	P9
03090500	P9
03090780	M9
03091000	G9
03092356	P9
03092500	G9
03093190	TP10
03093900	P10
03094405	P10
03094700	TP10
03095000	M10
03095300	P10
03096010	P10
03096025	P10
03096100	P10
03096400	P9
03096650	M9
03096690	M9
03096920	P9
03096932	P9
03096934	P9
03096940	P9
03097000	P10
03097150	P9
03098000	M9
03098690	P10
03098695	P10
03099490	P10
03099950	P10
03101000	P9
03101600	P9
03102000	P9
03102920	P9
03103370	P9
03103440	P9
03103816	G9
03104000	G9
03104450	P9
03105500	G9
03105902	P9
03105946	P9
03107000	G9
03108098	G9
03108198	G9
03109000	G9
03109660	P9
03109840	G9
03111000	G9
03112000	G9
03112295	TP9
03112480	G9
03112565	P9
03112710	P9
03112805	P9
03113040	M9
03113280	P9
03113610	P9
03114000	P9
03114395	P9
03115000	P9
03115860	P9
03115990	M9
03116187	P9
03116720	P9
03117310	P9
03118000	P9
03118300	M9
03119590	P9
03120000	P9
03120800	P9
03122008	TP9
03125000	TG9
03125500	G9
03126000	TG9
03126055	TP9
03126058	TP9
03127370	TG9
03128190	TP22
03128270	P22
03128500	TP22
03128935	P9
03129020	M9
03129730	TP20
03130000	M9
03130270	M9
03130490	M9
03131000	G9
03132260	M9
03132976	TP9
03133000	G9
03133850	G9
03133937	P9
03134000	G9
03134560	P9
03134730	TP9
03134800	P9
03136000	G9
03137000	G9
03137290	G9
03137685	TP9
03138000	TG9
03138390	P9-A
03138800	TG9
03140325	TP9
03140400	TP9
03140490	TP9
03141000	G9
03141490	TG9
03141665	P9
03141730	P9
03141984	P9
03142520	M9
03143000	M9
03143225	P9
03144440	P9
03144475	M9
03144675	P9
03144945	TP9
03145000	M9
03145290	TP9
03145675	P9
03145880	P9
03145985	M9
03146445	P9
03146498	M9
03146890	G9
03148220	P9
03149081	G9
03149158	TP9
03149353	P9
03149420	P9
03149487	P9
03149630	G9
03149900	P9
03150000	G9
03151800	M9
03152000	G9
03152440	G9
03153950	TP9
03154470	G9
03155470	M9
03156000	G9
03156150	P10
03156295	P10
03156308	P10
03156350	P10
03156540	P10
03156580	M9/10
03156695	TP9
03156940	P9
03156995	M9
03157485	P9
03160000	P9
03161230	P9
03161747	P9
03162000	M9
03162240	P9-A
03162365	P9-A
03163000	P9
03163300	TP9
03163400	TP9
03163750	P9-A
03164180	TP9
03164285	TP9
03164330	P9
03165020	M9
03166050	M9
03166650	TP9
03167000	P9
03168035	P9
03168230	P9
03168690	TP9
03168995	P9
03170100	P9
03171880	P9
03172000	P9
03174565	TP9
03174615	TP9
03174695	TP9
03174825	TP9
03175000	P9
03176290	P9
03176470	P9-A
03176500	P9-A
03176945	P9-A
03177760	TP9
03178000	M9
03178520	P9-A
03178692	P9-A
03179000	P9-A
03179740	P9-A
03180100	P9-A
03181000	P9
03182415	P9-A
03185620	P9
03185950	P9-A
03187000	P9
03189000	P9
03189300	TP9
03189395	P9
03189490	TP9
03189545	TP9
03189642	TP9
03189675	P9
03189900	TP9
03189975	M9
03190300	M9
03190489	TP9
03190725	P9
03190735	P9
03190790	P9
03191700	M9
03193000	M9-A
03193510	TP9
03193520	TP9
03194080	TP9
03194180	TP9
03194350	P9
03194543	P9
03194620	M9
03194880	P9
03196000	M9
03196080	TP9
03197000	P9
03198000	P9
03198530	P9
03199200	P9-A
03200070	P9-A
03201000	P9-A
03201260	P9-A
03201650	P9-A
03202250	P9-A
03203050	P9
03203750	P9
03204000	P9-A
03205000	P9-A
03206000	P9
03206150	P9
03206350	P9
03207020	P9-A
03207220	P9-A
03207610	P9-A
03207750	P9-A
03208000	P9-A
03208450	P9-A
03208520	P9-A
03209485	P9-A
03209550	P9-A
03210050	P9
03210300	TP9
03211000	P9-A
03211950	P9
03212090	P9-A
